Film,Year,URL Encoded name,Image File Name,Agency Credit,Artist Credit,Director/Filmmaker Name,Director/Filmmaker IMDB Link,Location Display Text,LATITUDE,LONGITUDE,Borough,Neighborhood,Scene Type,Media,IMDB LINK,Client or book location indicator,Notes,Book Image,Book Page,Display?,IMAGE OF LOCATION,ratings,Awards,Box Office,Director,Genre,Language,Plot,Poster,Rated,Runtime,imdbID,imdbVotes
Men in Black,1997,Men%20in%20Black,MenInBlack_pf,Courtesy of Photofest,Directed by,Barry Sonnenfeld,http://imdb.com/name/nm0001756/,Guggenheim Museum<br>E. 88th St. and Fifth Ave.<br>Manhattan,40.78257241,-73.95934939,Manhattan,Upper East Side,0,Film,http://www.imdb.com/title/tt0119654/,"Guggenheim Museum, 88th and Fifth",0,Y,207,0,Y,7.3,Won 1 Oscar. Another 21 wins & 39 nominations.,"$250,690,539",Barry Sonnenfeld,"Action, Adventure, Comedy, Sci-Fi",0.0,A police officer joins a secret organization that polices and monitors extraterrestrial interactions on Earth.,https://m.media-amazon.com/images/M/MV5BOTlhYTVkMDktYzIyNC00NzlkLTlmN2ItOGEyMWQ4OTA2NDdmXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,PG-13,98 min,tt0119654,"512,782"
Midnight Cowboy,1969,Midnight%20Cowboy,MidnightCowboy1_ec,"Courtesy of Everett Collection, Inc.",Directed by,John Schlesinger,http://imdb.com/name/nm0772259/,1414 Broadway<br>Midtown<br>Manhattan,40.753767,-73.986866,Manhattan,Midtown,0,Film,http://www.imdb.com/title/tt0064665/,39th Street and Broadway,Additional Image on p58-59 of the book,Y,235,0,Y,7.8,Won 3 Oscars. Another 25 wins & 16 nominations.,"$44,785,053",John Schlesinger,Drama,0.0,"A naive hustler travels from Texas to New York City to seek personal fortune, finding a new friend in the process.",https://m.media-amazon.com/images/M/MV5BNTgwZmIzMmYtZjE3Yy00NzgzLTgxNmUtNjlmZDlkMzlhOTJkXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,R,113 min,tt0064665,"100,335"
Midnight Cowboy,1968,Midnight%20Cowboy,MidnightCowboy2_ec,"Courtesy of Everett Collection, Inc.",Directed by,John Schlesinger,http://imdb.com/name/nm0772259/,Times Square<br>Manhattan,40.75819652,-73.98512006,Manhattan,Times Square,0,Film,http://www.imdb.com/title/tt0064665/,Times Square,Additional Image on p96,Y,234,0,Y,7.8,Won 3 Oscars. Another 25 wins & 16 nominations.,"$44,785,053",John Schlesinger,Drama,0.0,"A naive hustler travels from Texas to New York City to seek personal fortune, finding a new friend in the process.",https://m.media-amazon.com/images/M/MV5BNTgwZmIzMmYtZjE3Yy00NzgzLTgxNmUtNjlmZDlkMzlhOTJkXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,R,113 min,tt0064665,"100,335"
Mirage,1965,Mirage,Mirage_pf,Courtesy of Photofest,Directed by,Edward Dmytryk,http://imdb.com/name/nm0229424/,Fifth Ave. and 66th St.<br>Central Park<br>Manhattan,40.7687,-73.9698,Manhattan,Central Park,0,Film,http://imdb.com/title/tt0059448/,Central Park,0,Y,51,0,Y,7.4,2 nominations.,N/A,Oriol Paulo,"Drama, Fantasy, Mystery, Romance, Thriller",0.0,Two storms separated by 25 years. A woman murdered. A daughter missed. Only 72 hours to discover the truth.,https://m.media-amazon.com/images/M/MV5BZDE2MzdhYzktOWVkZS00ZWYzLWI2YjMtY2MzYTc2Yjg3MzgwXkEyXkFqcGdeQXVyMzkwMTMxNDQ@._V1_SX300.jpg,TV-MA,128 min,tt6908274,"40,126"
Mo' Better Blues,1990,Mo%27%20Better%20Blues,MoBetterBlues2_pf,Courtesy of Photofest,Directed by,Spike Lee,http://www.imdb.com/name/nm0000490/,Brooklyn Bridge,40.70645752,-73.99727583,Brooklyn,Brooklyn,0,Film,http://www.imdb.com/title/tt0100168/,Brooklyn Bridge,Image p225 not of brooklyn bridge,Y,0,0,Y,6.6,1 win & 3 nominations.,"$16,153,593",Spike Lee,"Drama, Music, Romance",0.0,Jazz trumpeter Bleek Gilliam makes questionable decisions in his professional and romantic lives.,https://m.media-amazon.com/images/M/MV5BYmMwY2ZhZjctZTg1Ny00NjNjLThkOTQtZGY2NzA1ODBjMzA3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,R,130 min,tt0100168,"11,132"
New Jack City,1991,New%20Jack%20City,0,0,Directed by,Mario Van Peebles,http://imdb.com/name/nm0005522/,Grant's Tomb<br>Harlem<br>Manhattan,40.8127049,-73.96310449,Manhattan,Harlem,0,Film,http://www.imdb.com/title/tt0102526/,Harlem,0,N,0,0,N,6.7,1 win & 5 nominations.,"$47,624,353",Mario Van Peebles,"Action, Crime, Drama, Thriller",0.0,A crime lord ascends to power and becomes megalomaniacal while a maverick police detective vows to stop him.,https://m.media-amazon.com/images/M/MV5BOGZlYzg3NjEtMmFhOS00NTA3LWJlOTktMjFhOWNkMjc0YjBkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,R,97 min,tt0102526,"31,297"
"Next Stop, Greenwich Village",1975,Next%20Stop%2C%20Greenwich%20Village,NextStopGreenwich_ec,"Courtesy of Everett Collection, Inc.",Directed by,Paul Mazursky,http://imdb.com/name/nm0005196/,MacDougal St.<br>West Village<br>Manhattan,40.72936455,-74.00103629,Manhattan,West Village,0,Film,http://imdb.com/title/tt0074963/,MacDougal Street,0,Y, 76-77,0,Y,6.9,Nominated for 2 Golden Globes. Another 4 nominations.,N/A,Paul Mazursky,"Comedy, Drama",0.0,The ups and downs of life as experienced by a group of aspiring young artists in the early Fifties New York.,https://m.media-amazon.com/images/M/MV5BNzlmNjFhNDctMzUxNi00ZDNiLWEyYjgtYzQ3YzBmYWZjNDkzL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,R,111 min,tt0074963,"1,955"
Nighthawks,1981,Nighthawks,Nighthawks_1981_1_pf,Courtesy of Photofest,Directed by,Bruce Malmuth,http://imdb.com/name/nm0540330/,Roosevelt Island Tramway<br>Manhattan,40.75835906,-73.95694613,Manhattan,Roosevelt Island,0,Film,http://www.imdb.com/title/tt0082817/,Roosevelt Island Tramway,0,Y,124,0,Y,6.4,N/A,N/A,"Bruce Malmuth, Gary Nelson","Action, Crime, Thriller",0.0,"Conservative street cop Deke DaSilva reluctantly agrees to terminate an international terrorist who has demanded media attention. But DaSilva's ""at-home"" tactics are very much put to the challenge.",https://m.media-amazon.com/images/M/MV5BOWUzMTk0ZmItZmRmYy00NjMzLWE2NWEtM2IzZjg2MDFhNjIwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,R,99 min,tt0082817,"17,525"
No Way to Treat a Lady,1968,No%20Way%20to%20Treat%20a%20Lady,NoWaytoTreataLady2_pf,Courtesy of Photofest,Directed by,Jack Smight,http://imdb.com/name/nm0806915/,New York City Bus<br>Manhattan,40.72268923,-73.98893952,Manhattan,Lower East Side,0,Film,http://www.imdb.com/title/tt0063356/,44th St bet. 8th Avenue and Broadway,Image p94 not of 8th Ave,Y,0,0,Y,7.0,Nominated for 1 BAFTA Film Award. Another 1 win.,N/A,Jack Smight,"Comedy, Crime, Drama, Mystery, Thriller",0.0,A crafty serial killer plays a game of cat-and-mouse with a harried police detective trying to track him down.,https://m.media-amazon.com/images/M/MV5BYjAyYWJlM2UtZDMyNy00NzdjLWFlMzQtZjQ1MjFkOGJiMmQ2XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,Unrated,108 min,tt0063356,"1,997"
No Way to Treat a Lady,1968,No%20Way%20to%20Treat%20a%20Lady,NoWaytoTreataLady_pf,Courtesy of Photofest,Directed by,Jack Smight,http://imdb.com/name/nm0806915/,Carmines<br>200 W. 44th St. <br>Manhattan,40.75736758,-73.98670793,Manhattan,Times Square,0,Film,http://www.imdb.com/title/tt0063356/,44th St bet. 8th Avenue and Broadway,Image p94 not of 8th Ave,Y,0,0,Y,7.0,Nominated for 1 BAFTA Film Award. Another 1 win.,N/A,Jack Smight,"Comedy, Crime, Drama, Mystery, Thriller",0.0,A crafty serial killer plays a game of cat-and-mouse with a harried police detective trying to track him down.,https://m.media-amazon.com/images/M/MV5BYjAyYWJlM2UtZDMyNy00NzdjLWFlMzQtZjQ1MjFkOGJiMmQ2XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,Unrated,108 min,tt0063356,"1,997"
North by Northwest,1959,North%20by%20Northwest,0,0,Directed by,Alfred Hitchcock,http://imdb.com/name/nm0000033/,Grand Central Terminal<br>Midtown<br>Manhattan,40.75310896,-73.97698759999999,Manhattan,Midtown,0,Film,http://imdb.com/title/tt0053125/,Grand Central Station,0,Y,42,0,N,8.3,Nominated for 3 Oscars. Another 8 wins & 7 nominations.,N/A,Alfred Hitchcock,"Adventure, Mystery, Thriller",0.0,A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies.,https://m.media-amazon.com/images/M/MV5BZDA3NDExMTUtMDlhOC00MmQ5LWExZGUtYmI1NGVlZWI4OWNiXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Approved,136 min,tt0053125,"296,487"
On the Town,1949,On%20the%20Town,OntheTown_pf,Courtesy of Photofest,Directed by,"Stanley Donen,Gene Kelly","http://imdb.com/name/nm0002045/,http://imdb.com/name/nm0000037/",Little Italy<br>Manhattan,40.71813564,-73.99790883,Manhattan,Lower East Side,0,Film,http://imdb.com/title/tt0041716/,"3 locations:
- Upper Bay
- Little Italy 
- Skating rink at Rockefeller Center",0,Y,36-37,0,Y,7.4,Won 1 Oscar. Another 2 wins & 2 nominations.,N/A,"Stanley Donen, Gene Kelly","Comedy, Musical, Romance",0.0,Three sailors wreak havoc as they search for love during a whirlwind 24-hour leave in New York City.,https://m.media-amazon.com/images/M/MV5BMTdmM2I3YjctYjg1MC00YjViLTkxNzMtMjQ5NTZhYmI2ZTA4XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,Passed,98 min,tt0041716,"15,851"
On the Waterfront,1954,On%20the%20Waterfront,OnTheWaterfront_pf,Courtesy of Photofest,Directed by,Elia Kazan,http://imdb.com/name/nm0001415/,"Hoboken, New Jersey<br>View of Manhattan",40.74712691,-74.02497768,Manhattan,New York Harbor,0,Film,http://imdb.com/title/tt0047296/,"Hoboken, New Jersey",0,Y,40-41,0,Y,8.1,Won 8 Oscars. Another 21 wins & 9 nominations.,N/A,Elia Kazan,"Crime, Drama, Thriller",0.0,An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.,https://m.media-amazon.com/images/M/MV5BY2I0MWFiZDMtNWQyYy00Njk5LTk3MDktZjZjNTNmZmVkYjkxXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Approved,108 min,tt0047296,"140,864"
One Fine Day,1996,One%20Fine%20Day,0,0,Directed by,Michael Hoffman,http://imdb.com/name/nm0001355/,Carnegie Deli<br>Seventh Ave. and W. 55th St.<br>Manhattan,40.7642,-73.98100000000002,Manhattan,Midtown,0,Film,http://www.imdb.com/title/tt0117247/,Carnegie Deli - 7th Avenue at 55th Street,0,Y,244,0,N,6.5,Nominated for 1 Oscar. Another 4 wins & 5 nominations.,"$46,151,454",Michael Hoffman,"Comedy, Drama, Romance",0.0,"The lives of two strangers and their young children unexpectedly intersect on one hectic, stressful day in New York City.",https://m.media-amazon.com/images/M/MV5BNDdhMjgxODQtZjNhNS00YjZiLWFmYTAtODZmM2RhM2M3YmIwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,PG,108 min,tt0117247,"42,994"
One Fine Day,1996,One%20Fine%20Day,0,0,Directed by,Michael Hoffman,http://imdb.com/name/nm0001355/,Near Bethesda Fountain<br>Central Park<br>Manhattan,40.77426124,-73.97052348,Manhattan,Central Park,0,Film,http://www.imdb.com/title/tt0117247/,Central Park,0,Y,147,0,N,6.5,Nominated for 1 Oscar. Another 4 wins & 5 nominations.,"$46,151,454",Michael Hoffman,"Comedy, Drama, Romance",0.0,"The lives of two strangers and their young children unexpectedly intersect on one hectic, stressful day in New York City.",https://m.media-amazon.com/images/M/MV5BNDdhMjgxODQtZjNhNS00YjZiLWFmYTAtODZmM2RhM2M3YmIwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,PG,108 min,tt0117247,"42,994"
Other People's Money,1991,Other%20People%27s%20Money,0,0,Directed by,Norman Jewison,http://imdb.com/name/nm0422484/,World Trade Center<br>Lower Manhattan,40.71292303,-74.01314914,Manhattan,Lower Manhattan,0,Film,http://imdb.com/title/tt0102609/,World Trade Center,0,Y,92,0,N,6.2,N/A,"$25,682,090",Norman Jewison,"Comedy, Drama, Romance",0.0,A corporate raider buys up shares in an undervalued company and falls in love with the founder's son's lawyer/step daughter. Let the battle begin.,https://m.media-amazon.com/images/M/MV5BNjkzZDg4MDctYWRlNS00OTJkLTgyM2EtOGViYjFiZjc4MjQwXkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_SX300.jpg,R,103 min,tt0102609,"7,900"
Pieces of April,2003,Pieces%20of%20April,PiecesofApril_ec,"Courtesy of Everett Collection, Inc.",Directed by,Peter Hedges,http://imdb.com/name/nm0373282/,Lower East Side<br>Manhattan,40.72057,-73.98595300000002,Manhattan,Lower East Side,0,Film,http://www.imdb.com/title/tt0311648/,Lower East Side,0,N,0,0,Y,7.0,Nominated for 1 Oscar. Another 15 wins & 21 nominations.,N/A,Peter Hedges,"Comedy, Drama",0.0,A wayward daughter invites her dying mother and the rest of her estranged family to her apartment for Thanksgiving dinner.,https://m.media-amazon.com/images/M/MV5BNDQyMDM3MzIyMl5BMl5BanBnXkFtZTcwMzUwMDU2NA@@._V1_SX300.jpg,PG-13,80 min,tt0311648,"19,985"
Plaza Suite,1971,Plaza%20Suite,PlazaSuite_pf,Courtesy of Photofest,Directed by,Arthur Hiller,http://imdb.com/name/nm0002137/,Rockefeller Center<br>600 Fifth Ave.<br>Manhattan,40.757603,-73.978101,Manhattan,Midtown,0,Film,http://www.imdb.com/title/tt0067589/,Rockefeller Center,0,N,0,0,Y,6.6,N/A,"$1,669,403",Arthur Hiller,"Comedy, Drama, Romance",0.0,"Three vignettes, each set in room 719 of New York's Plaza Hotel, make up this comedy.",https://m.media-amazon.com/images/M/MV5BMzQyMDBmOWYtYzU0Yi00NjAwLWE3ZjItODA2N2JiNDY4Y2E3XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,PG-13,114 min,tt0067589,"2,314"
Prime,2005,Prime,0,0,Directed by,Ben Younger,http://imdb.com/name/nm0950226/,Dean and Deluca<br>SoHo<br>Manhattan,40.725367,-73.999702,Manhattan,SoHo,0,Film,http://www.imdb.com/title/tt0387514/,"SoHo, Dean and Deluca",0,Y,155,0,N,6.2,1 nomination.,"$22,827,153",Ben Younger,"Comedy, Drama, Romance",0.0,"A career driven professional from Manhattan is wooed by a young painter, who also happens to be the son of her psychoanalyst.",https://m.media-amazon.com/images/M/MV5BMTgxMDg4MjUyNV5BMl5BanBnXkFtZTYwMTgwNDU3._V1_SX300.jpg,PG-13,105 min,tt0387514,"39,540"
Ragtime,1981,Ragtime,Ragtime2_pf,Courtesy of Photofest,Directed by,Milos Forman,http://imdb.com/name/nm0001232/,E. 11th St. between Ave. A and Ave. B<br>East Village<br>Manhattan,40.72795799,-73.98065150000002,Manhattan,East Village,Historic Recreations,Film,http://www.imdb.com/title/tt0082970/,11th Street bet Avenue A and Avenue B,0,Y,150,0,Y,7.3,Nominated for 8 Oscars. Another 2 wins & 14 nominations.,N/A,Milos Forman,Drama,0.0,"A young black pianist becomes embroiled in the lives of an upper-class white family set among the racial tensions, infidelity, violence, and other nostalgic events in early 1900s New York City.",https://m.media-amazon.com/images/M/MV5BNDk0ZTQ3ODAtMjUwMi00YzQ2LTgyMDAtZWY4ZGIxNTRlYzIwXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_SX300.jpg,PG,155 min,tt0082970,"8,688"
Report to the Commissioner,1975,Report%20to%20the%20Commissioner,ReporttotheComm4_ec,"Courtesy of Everett Collection, Inc.",Directed by,Milton Katselas,http://imdb.com/name/nm0441501/,Winter Garden Theater<br>1634 Broadway<br>Manhattan,40.76152800000001,-73.983802,Manhattan,Midtown,Chases,Film,http://www.imdb.com/title/tt0073620/,"Winter Garden Theater, Saks Fifth Avenue",0,Y,86-87,0,Y,6.4,N/A,N/A,Milton Katselas,"Crime, Drama",0.0,"Police officer Patty Butler, alias ""Chicklet,"" is the live-in girlfriend of Thomas 'Stick' Henderson to gather evidence. Detective Bo Lockley is instructed to try to find her, not knowing she's also a cop.",https://m.media-amazon.com/images/M/MV5BMjI5MTczNDc1OV5BMl5BanBnXkFtZTcwMjcxMTM4NA@@._V1_SX300.jpg,PG,112 min,tt0073620,612
Requiem for a Dream,2000,Requiem%20for%20a%20Dream,Requiemforadream2_pf,Courtesy of Photofest,Directed by,Darren Aronofsky,http://imdb.com/name/nm0004716/,Coney Island Boardwalk<br>Brooklyn,40.57223197,-73.98395598,Brooklyn,Brooklyn,0,Film,http://www.imdb.com/title/tt0180093/,Coney Island/Brighton Beach Boardwalk,poor quality,Y,134-135,0,Y,8.3,Nominated for 1 Oscar. Another 35 wins & 69 nominations.,N/A,Darren Aronofsky,Drama,0.0,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,https://m.media-amazon.com/images/M/MV5BOTdiNzJlOWUtNWMwNS00NmFlLWI0YTEtZmI3YjIzZWUyY2Y3XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,R,102 min,tt0180093,"759,614"
Rosemary's Baby,1968,Rosemary%27s%20Baby,RosemarysBaby_ec,"Courtesy of Everett Collection, Inc.",Directed by,Roman Polanski,http://imdb.com/name/nm0000591/,Fifth Ave. and E. 62nd St.<br>Upper East Side<br>Manhattan,40.7661,-73.9717,Manhattan,Upper East Side,0,Film,http://www.imdb.com/title/tt0063522/,Phone Booth: Fifth Ave and 62nd Street,0,Y,57,0,Y,8.0,Won 1 Oscar. Another 10 wins & 12 nominations.,N/A,Roman Polanski,"Drama, Horror",0.0,A young couple trying for a baby move into a fancy apartment surrounded by peculiar neighbors.,https://m.media-amazon.com/images/M/MV5BZmEwZGU2NzctYzlmNi00MGJkLWE3N2MtYjBlN2ZhMGJkZTZiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Approved,137 min,tt0063522,"192,480"
Rosemary's Baby,1968,Rosemary%27s%20Baby,RosemarysBaby3_pf,Courtesy of Photofest,Directed by,Roman Polanski,http://imdb.com/name/nm0000591/,"The Dakota<br>72nd St. and Central Park West<br>Manhattan
",40.77639,-73.976069,Manhattan,Upper West Side,0,Film,http://www.imdb.com/title/tt0063522/,"The Dakota, 72nd Street and Central Park West",0,Y,69,0,Y,8.0,Won 1 Oscar. Another 10 wins & 12 nominations.,N/A,Roman Polanski,"Drama, Horror",0.0,A young couple trying for a baby move into a fancy apartment surrounded by peculiar neighbors.,https://m.media-amazon.com/images/M/MV5BZmEwZGU2NzctYzlmNi00MGJkLWE3N2MtYjBlN2ZhMGJkZTZiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Approved,137 min,tt0063522,"192,480"
Rosemary's Baby,1968,Rosemary%27s%20Baby,RosemarysBaby2_pf,Courtesy of Photofest,Directed by,Roman Polanski,http://imdb.com/name/nm0000591/,"The Dakota<br>72nd St. and Central Park West<br>Manhattan
",40.77656053,-73.97615075,Manhattan,Upper West Side,0,Film,http://www.imdb.com/title/tt0063522/,"The Dakota, 72nd Street and Central Park West",0,Y,246,0,Y,8.0,Won 1 Oscar. Another 10 wins & 12 nominations.,N/A,Roman Polanski,"Drama, Horror",0.0,A young couple trying for a baby move into a fancy apartment surrounded by peculiar neighbors.,https://m.media-amazon.com/images/M/MV5BZmEwZGU2NzctYzlmNi00MGJkLWE3N2MtYjBlN2ZhMGJkZTZiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Approved,137 min,tt0063522,"192,480"
Saturday Night Fever,1977,Saturday%20Night%20Fever,SaturdayNightFever2_pf,Courtesy of Photofest,Directed by,John Badham,http://imdb.com/name/nm0000824/,4th Ave. and 86th St.<br>Bay Ridge<br>Brooklyn,40.6228,-74.0284,Brooklyn,Brooklyn,The Subway,Film,http://www.imdb.com/title/tt0076666/,"Fourth Avenue and 86th Street, Bay Ridge",Additional image p192,Y,115,0,Y,6.8,Nominated for 1 Oscar. Another 4 wins & 11 nominations.,"$94,213,184",John Badham,"Drama, Music",0.0,"Anxious about his future after high school, a 19-year-old Italian-American from Brooklyn tries to escape the harsh reality of his bleak family life by dominating the dance floor at the local disco.",https://m.media-amazon.com/images/M/MV5BOWU0NjZhMWEtMWU2Zi00NTgwLWI1OTQtNDJlNDAyNzdlZjljXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,R,118 min,tt0076666,"71,026"
Saturday Night Fever,1977,Saturday%20Night%20Fever,SaturdayNightFever_pf,Courtesy of Photofest,Directed by,John Badham,http://imdb.com/name/nm0000824/,Subway Car<br>Brooklyn,40.62607020000001,-73.99702370000001,Brooklyn,Brooklyn,The Subway,Film,http://www.imdb.com/title/tt0076666/,"Fourth Avenue and 86th Street, Bay Ridge",0,Y,115,0,Y,6.8,Nominated for 1 Oscar. Another 4 wins & 11 nominations.,"$94,213,184",John Badham,"Drama, Music",0.0,"Anxious about his future after high school, a 19-year-old Italian-American from Brooklyn tries to escape the harsh reality of his bleak family life by dominating the dance floor at the local disco.",https://m.media-amazon.com/images/M/MV5BOWU0NjZhMWEtMWU2Zi00NTgwLWI1OTQtNDJlNDAyNzdlZjljXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,R,118 min,tt0076666,"71,026"
Searching for Bobby Fischer,1993,Searching%20for%20Bobby%20Fischer,SearchingforBobby_pf,Courtesy of Photofest,Directed by,Steven Zaillian,http://imdb.com/name/nm0001873/,Washington Square Park<br>West Village<br>Manhattan,40.7310719,-73.99928749,Manhattan,West Village,0,Film,http://www.imdb.com/title/tt0108065/,Washington Square Park,0,Y,79,0,Y,7.4,Nominated for 1 Oscar. Another 5 wins & 9 nominations.,"$7,266,383",Steven Zaillian,"Biography, Drama",0.0,A prepubescent chess prodigy refuses to harden himself in order to become a champion like the famous but unlikable Bobby Fischer.,https://m.media-amazon.com/images/M/MV5BNTNlYjBjMGEtOTFkZS00MjM5LTk2ZTktYWVmZTc4NzE3NzAxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,PG,109 min,tt0108065,"29,915"
Serpico,1973,Serpico,Serpico_pf,Courtesy of Photofest,Directed by,Sidney Lumet,http://imdb.com/name/nm0001486/,"Williamsburg Tenaments<br>Brooklyn
",40.70757988,-73.96520197,Brooklyn,Brooklyn,0,Film,http://www.imdb.com/title/tt0070666/,Williamsburgh teNaments,poor quality,Y,60,0,Y,7.7,Nominated for 2 Oscars. Another 6 wins & 10 nominations.,"$29,800,000",Sidney Lumet,"Biography, Crime, Drama, Thriller",0.0,An honest New York cop named Frank Serpico blows the whistle on rampant corruption in the force only to have his comrades turn against him.,https://m.media-amazon.com/images/M/MV5BYTU4ZTI0NzAtYzMwNi00YmMxLThmZWItNTY5NzgyMDAwYWVhXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,R,130 min,tt0070666,"108,827"
Sesame Street,1969-today,Sesame%20Street,SesameStreet_pf,Courtesy of Photofest,Created by,"Joan Ganz Cooney,(more)","http://imdb.com/name/nm0177760/,http://www.imdb.com/title/tt0063951/fullcredits#writers",Kaufman Astoria Studios<br>Astoria<br>Queens,40.757599,-73.923671,Queens,Queens,0,TV,http://www.imdb.com/title/tt0063951/,Kaufman Astoria Studios,poor quality,Y,265,0,Y,8.1,Won 6 Primetime Emmys. Another 222 wins & 318 nominations.,0,N/A,"Animation, Adventure, Comedy, Family, Fantasy, Music",0.0,"On a special inner city street, the inhabitants, human and muppet, teach preschool subjects with comedy, cartoons, games, and songs.",https://m.media-amazon.com/images/M/MV5BODM4NDI3OTcxN15BMl5BanBnXkFtZTgwNjc3MjIwMTI@._V1_SX300.jpg,TV-Y,55 min,tt0063951,"11,644"
Shadows,1959,Shadows,Shadows_ec,"Courtesy of Everett Collection, Inc.",Directed by,John Cassavetes,http://imdb.com/name/nm0001023/,MoMA<br>W. 53rd St.<br>Manhattan,40.7608458,-73.97647262,Manhattan,Midtown,0,Film,http://imdb.com/title/tt0053270/,0,0,Y,44,N,Y,7.3,Nominated for 3 BAFTA Film Awards. Another 2 wins & 2 nominations.,N/A,John Cassavetes,"Drama, Romance",0.0,Cassavetes' jazz-scored improvisational film explores interracial friendships and relationships in Beat-Era (1950s) New York City.,https://m.media-amazon.com/images/M/MV5BMmYzMzBmYTQtYmRkZC00MjdjLTg5MzctYjU1OWRjYjdlYmU1XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,PG,87 min,tt0053270,"10,174"
She's the One,1996,She%27s%20the%20One,Shestheone_pf,Courtesy of Photofest,Directed by,Edward Burns,http://imdb.com/name/nm0122653/,McHales Pub<br>W. 46th and Eighth Ave.<br>Manhattan,40.75974059,-73.98754478,Manhattan,Midtown,0,Film,http://www.imdb.com/title/tt0117628/,"McHales Pub, 46th and Columbus",poor quality,Y,243,0,Y,6.0,3 nominations.,"$9,538,948",Edward Burns,"Comedy, Drama, Romance",0.0,"The love lives of two brothers, Mickey and Francis, interconnect as Francis cheats on his wife with Mickey's ex-girlfriend, while Mickey impulsively marries a stranger.",https://m.media-amazon.com/images/M/MV5BZTU0OWFjZTgtYmExNi00MDhiLTg1NmEtMTIxZDc4ZDNlOGU2XkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg,R,96 min,tt0117628,"16,458"
Single White Female,1992,Single%20White%20Female,SingleWhiteFemale_pf,Courtesy of Photofest,Directed by,Barbet Schroeder,http://imdb.com/name/nm0775447/,Ansonia Hotel<br>2109 Broadway<br>Manhattan,40.779956,-73.981881,Manhattan,Upper West Side,New York Landmarks,Film,http://www.imdb.com/title/tt0105414/,Ansonia Hotel - 30th Street bet 7th and 8th Aves,0,Y,170,0,Y,6.4,1 win & 1 nomination.,"$48,017,402",Barbet Schroeder,"Drama, Thriller",0.0,A woman advertising for a new roommate finds that something very strange is going on with the tenant who decides to move in.,https://m.media-amazon.com/images/M/MV5BYjNmMTNjYzEtNGIzOC00ZDc2LWFjN2UtZTNmZjgxZDJkNzBlXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg,R,107 min,tt0105414,"32,185"
Six Degrees of Separation,1993,Six%20Degrees%20of%20Separation,SixDegreesofSep_pf,Courtesy of Photofest,Directed by,Fred Schepisi,http://imdb.com/name/nm0770961/,Central Park<br>Manhattan,40.77150687,-73.9690429,Manhattan,Central Park,0,Film,http://www.imdb.com/title/tt0108149/,NEAR Fifth Ave & 70th St. in Central Park,0,Y,146,0,Y,6.8,Nominated for 1 Oscar. Another 5 nominations.,N/A,Fred Schepisi,"Comedy, Drama, Mystery",0.0,"An affluent New York City couple finds their lives touched, intruded upon, and compelled by a mysterious young black man who is never quite who he says he is.",https://m.media-amazon.com/images/M/MV5BMTQ5ODk1NTI4NV5BMl5BanBnXkFtZTcwNDYzMjI3NA@@._V1_SX300.jpg,R,112 min,tt0108149,"19,519"
